Film,Scare Level,Quality Level ,Gore Level ,Trailer
The House that Jack Built (2018),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=c6DuLPGZIoQ
Paranormal Activity (2009),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=1rFCdKLh5bE
Seven (1995),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=znmZoVkCjpI
The Sentinel (1977),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=k2o-8nzS_bc
The House with the Laughing WIndows (1976),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=jE6_fO2iqOY
Antichrist (2009),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=Zv_F8iZKeLI
Skinamarink (2022),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=APQqilSTxz0
Braid (2019),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=qgUW_SjWGdI
Censor (2021),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=KRrhXjH1M70
Lake Mungo (2008),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=s-KnomEI6NE
Midsommar (2019),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=1Vnghdsjmd0
Sinister (2012),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=_kbQAJR9YWQ
In a Violent Nature (2024),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=4BVW7axwtQk
When a Stranger Calls (1979),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=2oC4QJtPMH0
Funny Games (1997),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=bH2HS6uWIhQ
Escape Room (2019),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=6dSKUoV0SNI
Nope (2022),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=In8fuzj3gck
Us (2019),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=hNCmb-4oXJA
Get Out (2017),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=DzfpyUB60YY
Personal Shopper (2016),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=dSqMpkGOW9g
Wait Until Dark (1967),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=MKeTME_tRUI
The Houses that October Built (2011),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=Yedl4lY9VgM
Chopping Mall (1986),Scare Me Some,Good,Paper Cut,https://www.youtube.com/watch?v=jSkYxW5Ii28
Crawl (2019),Scare Me Some,Good,Paper Cut,https://www.youtube.com/watch?v=H6MLJG0RdDE
Memories (1995),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=hABBy-xta80
